subject,date,time,lesson_type,teacher,classroom,group
Системный анализ,Вт 22 апреля,16:30 – 18:00,ПЗ,24-400,,М8О-106А-24
Системный анализ,Вт 22 апреля,18:15 – 19:45,ПЗ,24-400,,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 23 апреля,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 23 апреля,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
Системный анализ,Вт 06 мая,16:30 – 18:00,ПЗ,24-400,,М8О-106А-24
Системный анализ,Вт 06 мая,18:15 – 19:45,ПЗ,24-400,,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 07 мая,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 07 мая,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 14 мая,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 14 мая,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
Системный анализ,Вт 20 мая,16:30 – 18:00,ПЗ,24-400,,М8О-106А-24
Системный анализ,Вт 20 мая,18:15 – 19:45,ПЗ,24-400,,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 21 мая,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 21 мая,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 28 мая,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 28 мая,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
Системный анализ,Вт 03 июня,16:30 – 18:00,ПЗ,24-400,,М8О-106А-24
Системный анализ,Вт 03 июня,18:15 – 19:45,ПЗ,24-400,,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 04 июня,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 04 июня,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
Системный анализ,Вт 03 июня,16:30 – 18:00,ПЗ,24-400,,М8О-106А-24
Системный анализ,Вт 03 июня,18:15 – 19:45,ПЗ,24-400,,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 04 июня,16:30 – 18:00,ПЗ,,ГУК Б-434,М8О-106А-24
"Научная деятельность, направленная на подготовку диссертации к защите",Ср 04 июня,18:15 – 19:45,ПЗ,,ГУК Б-434,М8О-106А-24
Проектирование и разработка рекомендательных систем,Сб 01 марта,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Проектирование и разработка рекомендательных систем,Сб 01 марта,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 03 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 03 марта,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 04 марта,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 04 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 05 марта,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 05 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Проектирование и разработка рекомендательных систем,Сб 15 марта,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Проектирование и разработка рекомендательных систем,Сб 15 марта,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 17 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 17 марта,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 18 марта,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 18 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 19 марта,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 19 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 20 марта,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 20 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 22 марта,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 22 марта,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Проектирование и разработка рекомендательных систем,Сб 29 марта,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Проектирование и разработка рекомендательных систем,Сб 29 марта,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 31 марта,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 31 марта,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 01 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 01 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 02 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 02 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 03 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 03 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 05 апреля,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 05 апреля,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 07 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 07 апреля,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 14 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокие генеративные модели,Пн 14 апреля,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 15 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Контейнеризация и оркестрация приложений,Вт 15 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 16 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
"Сбор, генерация и разметка данных для машинного обучения",Ср 16 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 17 апреля,16:30 – 18:00,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обработка естественного языка (Большие языковые модели),Чт 17 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 19 апреля,13:00 – 14:30,ЛР,,--каф.,М8О-101СВ-24
Разработка основанных на данных решений и предиктивная аналитика,Сб 19 апреля,14:45 – 16:15,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 21 апреля,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 21 апреля,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 05 мая,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 05 мая,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 19 мая,18:15 – 19:45,ЛР,,--каф.,М8О-101СВ-24
Глубокое обучение и обучение с подкреплением,Пн 19 мая,20:00 – 21:30,ЛР,,--каф.,М8О-101СВ-24
Профессиональное и научное общение на иностранном языке,Ср 12 февраля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 18 февраля,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 18 февраля,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 19 февраля,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 19 февраля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 20 февраля,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 20 февраля,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 21 февраля,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 21 февраля,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 24 февраля,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 24 февраля,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 25 февраля,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 25 февраля,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 26 февраля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 04 марта,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 04 марта,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 05 марта,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 05 марта,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 06 марта,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 06 марта,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 10 марта,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 10 марта,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 11 марта,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 11 марта,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 12 марта,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 18 марта,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 18 марта,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 19 марта,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 19 марта,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 20 марта,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 20 марта,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 21 марта,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 21 марта,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 24 марта,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 24 марта,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 25 марта,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 25 марта,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 26 марта,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 01 апреля,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 01 апреля,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 02 апреля,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 02 апреля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 03 апреля,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 03 апреля,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 04 апреля,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 04 апреля,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 07 апреля,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 07 апреля,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 08 апреля,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 08 апреля,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 09 апреля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 10 апреля,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 10 апреля,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 11 апреля,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 11 апреля,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Теория сложности алгоритмов,Вт 15 апреля,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 15 апреля,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 16 апреля,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 16 апреля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 17 апреля,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 17 апреля,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 18 апреля,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 18 апреля,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 21 апреля,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 21 апреля,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 22 апреля,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 22 апреля,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 23 апреля,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 24 апреля,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 24 апреля,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 25 апреля,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 25 апреля,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Теория сложности алгоритмов,Вт 29 апреля,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 29 апреля,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 30 апреля,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 02 мая,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 02 мая,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 05 мая,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 05 мая,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 06 мая,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 06 мая,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 07 мая,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 13 мая,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 13 мая,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 14 мая,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 14 мая,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Устойчивость динамических систем,Чт 15 мая,16:30 – 18:00,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
Устойчивость динамических систем,Чт 15 мая,18:15 – 19:45,ПЗ,Бардин Борис Сабирович,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 16 мая,16:30 – 18:00,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
3D моделирование динамических систем в интеграционной среде Unity,Пт 16 мая,18:15 – 19:45,ЛР,Чекина Евгения Алексеевна Лебедев Максим Витальевич,ГУК А-624,М8О-102СВ-24
Статистические методы обработки данных,Пн 19 мая,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 19 мая,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 20 мая,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 20 мая,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 21 мая,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Теория сложности алгоритмов,Вт 27 мая,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Теория сложности алгоритмов,Вт 27 мая,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК Б-536,М8О-102СВ-24
Управление интеллектуальной собственностью,Ср 28 мая,14:45 – 16:15,ПЗ,Позняков Павел Владимирович,ГУК Б-636,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 28 мая,16:30 – 18:00,ПЗ,ГУК А-502,ГУК Б-729,М8О-102СВ-24
Статистические методы обработки данных,Пн 02 июня,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 02 июня,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 03 июня,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 03 июня,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Статистические методы обработки данных,Пн 02 июня,16:30 – 18:00,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Статистические методы обработки данных,Пн 02 июня,18:15 – 19:45,ЛР,Платонов Евгений Николаевич,ГУК А-506,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 03 июня,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Разработка и аналитика IT-продуктов,Вт 03 июня,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-102СВ-24
Профессиональное и научное общение на иностранном языке,Ср 12 февраля,16:30 – 18:00,ПЗ,,ГУК Б-544 3-127,М8О-105СВ-24
Статистические методы обработки данных,Вт 18 февраля,16:30 – 18:00,ЛР,Кибзун Андрей Иванович,ГУК А-506,М8О-105СВ-24
Статистические методы обработки данных,Вт 18 февраля,18:15 – 19:45,ЛР,Кибзун Андрей Иванович,ГУК А-506,М8О-105СВ-24
Профессиональное и научное общение на иностранном языке,Ср 19 февраля,16:30 – 18:00,ПЗ,,ГУК Б-544 3-127,М8О-105СВ-24
Управление интеллектуальной собственностью,Ср 19 февраля,20:00 – 21:30,ПЗ,Позняков Павел Владимирович 5-001,,М8О-105СВ-24
Интеллектуальные технологии обработки текстов,Чт 20 февраля,16:30 – 18:00,ПЗ,Хорошилов Александр Алексеевич,ГУК А-606,М8О-105СВ-24
Интеллектуальные технологии обработки текстов,Чт 20 февраля,18:15 – 19:45,ПЗ,Хорошилов Александр Алексеевич,ГУК А-606,М8О-105СВ-24
Современные технологии в разработке интеллектуальных систем,Пт 21 февраля,16:30 – 18:00,ПЗ,Кан Анна Владимировна,ГУК А-606,М8О-105СВ-24
Современные технологии в разработке интеллектуальных систем,Пт 21 февраля,18:15 – 19:45,ПЗ,Кан Анна Владимировна,ГУК А-606,М8О-105СВ-24
Разработка и аналитика IT-продуктов,Пн 24 февраля,16:30 – 18:00,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-105СВ-24
Разработка и аналитика IT-продуктов,Пн 24 февраля,18:15 – 19:45,ЛР,Пановский Валентин Николаевич,ГУК Б-324,М8О-105СВ-24
Теория сложности алгоритмов,Вт 25 февраля,16:30 – 18:00,ЛР,Рассказова Варвара Андреевна,ГУК А-506,М8О-105СВ-24
Теория сложности алгоритмов,Вт 25 февраля,18:15 – 19:45,ЛР,Рассказова Варвара Андреевна,ГУК А-506,М8О-105СВ-24
Профессиональное и научное общение на иностранном языке,Ср 26 февраля,16:30 – 18:00,ПЗ,,ГУК Б-544 3-127,М8О-105СВ-24
Статистические методы обработки данных,Вт 04 марта,16:30 – 18:00,ЛР,Кибзун Андрей Иванович,ГУК А-506,М8О-105СВ-24
Статистические методы обработки данных,Вт 04 марта,18:15 – 19:45,ЛР,Кибзун Андрей Иванович,ГУК А-506,М8О-105СВ-24
Профессиональное и научное общение на иностранном языке,Ср 05 марта,16:30 – 18:00,ПЗ,,ГУК Б-544 3-127,М8О-105СВ-24
Управление интеллектуальной собственностью,Ср 05 марта,20:00 – 21:30,ПЗ,Позняков Павел Владимирович 5-001,,М8О-105СВ-24
Интеллектуальные технологии обработки текстов,Чт 06 марта,16:30 – 18:00,ПЗ,Хорошилов Александр Алексеевич,ГУК А-606,М8О-105СВ-24
